,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,155,90,1
12,03/12/2020,357,92,0
13,03/13/2020,620,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1037,189,5
16,03/16/2020,2123,317,8
17,03/17/2020,2455,359,8
18,03/18/2020,2984,472,21
19,03/19/2020,3714,559,24
20,03/20/2020,4014,665,47
21,03/21/2020,2640,700,44
22,03/22/2020,2580,725,50
23,03/23/2020,3571,1037,82
24,03/24/2020,4506,1153,95
25,03/25/2020,4864,1303,123
26,03/26/2020,5051,1454,190
27,03/27/2020,5128,1392,218
28,03/28/2020,3478,1364,273
29,03/29/2020,3560,1406,292
30,03/30/2020,6131,1717,326
31,03/31/2020,5473,1695,384
32,04/01/2020,5464,1587,447
33,04/02/2020,5768,1618,499
34,04/03/2020,5676,1601,498
35,04/04/2020,3869,1344,510
36,04/05/2020,3794,1328,580
37,04/06/2020,6378,1724,576
38,04/07/2020,6065,1605,597
39,04/08/2020,5585,1541,568
40,04/09/2020,5074,1429,561
41,04/10/2020,4521,1336,539
42,04/11/2020,3733,1097,543
43,04/12/2020,2890,995,573
44,04/13/2020,3311,1214,571
45,04/14/2020,4148,1088,512
46,04/15/2020,3878,982,454
47,04/16/2020,3528,883,413
48,04/17/2020,3581,902,384
49,04/18/2020,2172,663,392
50,04/19/2020,2346,593,399
51,04/20/2020,3793,725,364
52,04/21/2020,3064,661,323
53,04/22/2020,3464,599,312
54,04/23/2020,2844,533,332
55,04/24/2020,2538,550,316
56,04/25/2020,1595,403,265
57,04/26/2020,1003,376,247
58,04/27/2020,2297,444,271
59,04/28/2020,2731,444,228
60,04/29/2020,2342,408,240
61,04/30/2020,2025,345,222
62,05/01/2020,1889,352,209
63,05/02/2020,1060,263,192
64,05/03/2020,784,256,178
65,05/04/2020,1550,309,159
66,05/05/2020,1513,283,151
67,05/06/2020,1402,257,150
68,05/07/2020,1235,252,142
69,05/08/2020,1081,253,131
70,05/09/2020,658,182,100
71,05/10/2020,460,153,102
72,05/11/2020,1233,246,103
73,05/12/2020,1285,203,91
74,05/13/2020,1336,224,83
75,05/14/2020,1112,215,70
76,05/15/2020,875,231,86
77,05/16/2020,487,164,83
78,05/17/2020,359,122,77
79,05/18/2020,901,175,57
80,05/19/2020,1005,201,54
81,05/20/2020,1072,164,81
82,05/21/2020,1071,172,45
83,05/22/2020,1062,194,64
84,05/23/2020,465,129,60
85,05/24/2020,480,119,49
86,05/25/2020,469,139,49
87,05/26/2020,1056,149,37
88,05/27/2020,753,159,49
89,05/28/2020,639,139,38
90,05/29/2020,644,159,43
91,05/30/2020,349,96,54
92,05/31/2020,217,90,39
93,06/01/2020,666,124,34
94,06/02/2020,577,124,38
95,06/03/2020,515,115,42
96,06/04/2020,514,90,32
97,06/05/2020,410,65,27
98,06/06/2020,248,47,35
99,06/07/2020,198,47,24
100,06/08/2020,445,62,41
101,06/09/2020,424,51,33
102,06/10/2020,367,45,31
103,06/11/2020,358,41,21
104,06/12/2020,412,55,23
105,06/13/2020,196,29,14
106,06/14/2020,185,42,24
107,06/15/2020,377,49,20
108,06/16/2020,425,51,19
109,06/17/2020,351,41,20
110,06/18/2020,371,39,17
111,06/19/2020,356,41,17
112,06/20/2020,204,27,19
113,06/21/2020,176,34,28
114,06/22/2020,393,43,25
115,06/23/2020,379,42,27
116,06/24/2020,382,37,25
117,06/25/2020,297,37,19
118,06/26/2020,312,34,20
119,06/27/2020,209,37,21
120,06/28/2020,200,31,19
121,06/29/2020,439,38,25
122,06/30/2020,443,37,24
123,07/01/2020,398,30,12
124,07/02/2020,415,31,25
125,07/03/2020,228,23,24
126,07/04/2020,118,22,14
127,07/05/2020,152,24,17
128,07/06/2020,435,43,18
129,07/07/2020,457,41,13
130,07/08/2020,440,31,20
131,07/09/2020,393,41,10
132,07/10/2020,306,36,10
133,07/11/2020,249,29,13
134,07/12/2020,214,17,11
135,07/13/2020,453,45,17
136,07/14/2020,370,32,9
137,07/15/2020,353,23,14
138,07/16/2020,322,31,10
139,07/17/2020,329,43,14
140,07/18/2020,146,27,11
141,07/19/2020,119,29,6
142,07/20/2020,271,30,11
143,07/21/2020,234,22,10
144,07/22/2020,209,30,5
145,07/23/2020,176,30,7
146,07/24/2020,166,28,5
147,07/25/2020,74,23,6
148,07/26/2020,61,17,5
149,07/27/2020,54,5,1
150,07/28/2020,10,1,0
