,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,154,90,1
12,03/12/2020,357,92,0
13,03/13/2020,620,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1035,189,5
16,03/16/2020,2123,317,8
17,03/17/2020,2455,360,8
18,03/18/2020,2984,474,21
19,03/19/2020,3713,561,24
20,03/20/2020,4014,665,47
21,03/21/2020,2640,701,44
22,03/22/2020,2582,725,50
23,03/23/2020,3571,1038,82
24,03/24/2020,4507,1152,95
25,03/25/2020,4852,1298,123
26,03/26/2020,5045,1456,190
27,03/27/2020,5129,1392,218
28,03/28/2020,3479,1366,273
29,03/29/2020,3558,1406,291
30,03/30/2020,6129,1717,328
31,03/31/2020,5474,1694,383
32,04/01/2020,5462,1584,446
33,04/02/2020,5766,1614,499
34,04/03/2020,5676,1598,498
35,04/04/2020,3867,1343,510
36,04/05/2020,3792,1328,581
37,04/06/2020,6377,1723,574
38,04/07/2020,6065,1602,598
39,04/08/2020,5586,1539,569
40,04/09/2020,5074,1428,560
41,04/10/2020,4520,1337,539
42,04/11/2020,3731,1097,542
43,04/12/2020,2888,995,573
44,04/13/2020,3311,1212,570
45,04/14/2020,4146,1087,512
46,04/15/2020,3877,982,454
47,04/16/2020,3525,882,413
48,04/17/2020,3579,901,384
49,04/18/2020,2170,661,391
50,04/19/2020,2346,595,398
51,04/20/2020,3786,722,365
52,04/21/2020,3062,660,322
53,04/22/2020,3458,599,312
54,04/23/2020,2842,533,332
55,04/24/2020,2537,551,316
56,04/25/2020,1594,403,264
57,04/26/2020,1003,375,247
58,04/27/2020,2289,443,272
59,04/28/2020,2727,442,228
60,04/29/2020,2341,408,240
61,04/30/2020,2019,343,222
62,05/01/2020,1883,349,209
63,05/02/2020,1057,261,192
64,05/03/2020,784,255,178
65,05/04/2020,1546,310,159
66,05/05/2020,1512,282,151
67,05/06/2020,1401,258,150
68,05/07/2020,1231,252,142
69,05/08/2020,1087,254,131
70,05/09/2020,660,183,100
71,05/10/2020,459,152,102
72,05/11/2020,1233,246,103
73,05/12/2020,1285,200,91
74,05/13/2020,1334,223,82
75,05/14/2020,1111,215,70
76,05/15/2020,871,227,86
77,05/16/2020,489,165,83
78,05/17/2020,360,122,77
79,05/18/2020,901,177,58
80,05/19/2020,1006,203,54
81,05/20/2020,1069,166,81
82,05/21/2020,1069,172,45
83,05/22/2020,1061,195,64
84,05/23/2020,464,130,60
85,05/24/2020,478,121,49
86,05/25/2020,466,140,49
87,05/26/2020,1053,150,37
88,05/27/2020,754,160,49
89,05/28/2020,634,141,38
90,05/29/2020,649,159,43
91,05/30/2020,347,95,53
92,05/31/2020,215,91,39
93,06/01/2020,665,124,34
94,06/02/2020,574,125,38
95,06/03/2020,512,115,42
96,06/04/2020,510,89,32
97,06/05/2020,407,64,26
98,06/06/2020,246,48,35
99,06/07/2020,196,45,24
100,06/08/2020,443,60,41
101,06/09/2020,424,49,32
102,06/10/2020,365,46,31
103,06/11/2020,354,39,21
104,06/12/2020,407,51,23
105,06/13/2020,194,27,14
106,06/14/2020,182,40,24
107,06/15/2020,376,48,20
108,06/16/2020,419,46,20
109,06/17/2020,348,41,20
110,06/18/2020,368,38,16
111,06/19/2020,351,40,17
112,06/20/2020,204,25,18
113,06/21/2020,169,32,28
114,06/22/2020,390,40,26
115,06/23/2020,374,39,25
116,06/24/2020,374,33,24
117,06/25/2020,290,35,18
118,06/26/2020,276,34,21
119,06/27/2020,152,30,18
120,06/28/2020,129,27,15
121,06/29/2020,302,36,22
122,06/30/2020,290,31,19
123,07/01/2020,188,18,5
124,07/02/2020,190,7,10
125,07/03/2020,50,0,3
126,07/04/2020,8,0,0
