,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,1,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,21,0
5,03/05/2020,3,20,0
6,03/06/2020,8,19,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,62,0
11,03/11/2020,154,89,1
12,03/12/2020,357,87,0
13,03/13/2020,620,149,0
14,03/14/2020,644,155,2
15,03/15/2020,1034,190,5
16,03/16/2020,2123,311,9
17,03/17/2020,2455,352,8
18,03/18/2020,2981,463,20
19,03/19/2020,3714,551,24
20,03/20/2020,4013,660,46
21,03/21/2020,2639,693,44
22,03/22/2020,2581,726,50
23,03/23/2020,3568,1033,82
24,03/24/2020,4504,1142,94
25,03/25/2020,4846,1294,120
26,03/26/2020,5026,1427,186
27,03/27/2020,5103,1375,212
28,03/28/2020,3464,1346,265
29,03/29/2020,3530,1386,285
30,03/30/2020,6120,1683,321
31,03/31/2020,5443,1668,372
32,04/01/2020,5444,1562,431
33,04/02/2020,5754,1606,487
34,04/03/2020,5667,1597,484
35,04/04/2020,3865,1332,488
36,04/05/2020,3784,1319,568
37,04/06/2020,6375,1709,564
38,04/07/2020,6056,1589,590
39,04/08/2020,5573,1527,547
40,04/09/2020,5057,1416,537
41,04/10/2020,4503,1329,518
42,04/11/2020,3722,1088,526
43,04/12/2020,2879,984,554
44,04/13/2020,3304,1212,549
45,04/14/2020,4139,1076,507
46,04/15/2020,3874,980,438
47,04/16/2020,3521,868,399
48,04/17/2020,3578,896,367
49,04/18/2020,2166,653,360
50,04/19/2020,2344,590,374
51,04/20/2020,3781,716,349
52,04/21/2020,3059,653,305
53,04/22/2020,3452,587,298
54,04/23/2020,2841,526,309
55,04/24/2020,2538,543,299
56,04/25/2020,1595,395,242
57,04/26/2020,1004,371,231
58,04/27/2020,2285,438,257
59,04/28/2020,2725,434,218
60,04/29/2020,2342,404,230
61,04/30/2020,2016,335,210
62,05/01/2020,1880,342,205
63,05/02/2020,1057,255,186
64,05/03/2020,785,248,167
65,05/04/2020,1547,297,150
66,05/05/2020,1510,270,142
67,05/06/2020,1401,246,140
68,05/07/2020,1229,234,132
69,05/08/2020,1085,246,122
70,05/09/2020,661,171,98
71,05/10/2020,461,142,91
72,05/11/2020,1232,232,97
73,05/12/2020,1284,196,88
74,05/13/2020,1326,209,73
75,05/14/2020,1111,206,65
76,05/15/2020,871,218,85
77,05/16/2020,489,156,76
78,05/17/2020,360,117,73
79,05/18/2020,900,164,53
80,05/19/2020,1006,196,51
81,05/20/2020,1067,151,75
82,05/21/2020,1051,166,43
83,05/22/2020,1034,194,61
84,05/23/2020,458,124,56
85,05/24/2020,475,110,47
86,05/25/2020,457,133,45
87,05/26/2020,1042,138,35
88,05/27/2020,736,160,45
89,05/28/2020,628,133,35
90,05/29/2020,635,157,43
91,05/30/2020,339,91,53
92,05/31/2020,216,85,40
93,06/01/2020,660,120,34
94,06/02/2020,568,117,37
95,06/03/2020,488,106,38
96,06/04/2020,424,85,33
97,06/05/2020,323,58,25
98,06/06/2020,212,42,30
99,06/07/2020,168,39,27
100,06/08/2020,363,50,30
101,06/09/2020,295,41,27
102,06/10/2020,214,39,26
103,06/11/2020,145,22,8
104,06/12/2020,74,4,1
105,06/13/2020,1,0,0
