,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,12,0
1,03/01/2020,1,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,19,0
4,03/04/2020,5,21,0
5,03/05/2020,3,19,0
6,03/06/2020,8,19,0
7,03/07/2020,7,15,0
8,03/08/2020,21,16,0
9,03/09/2020,58,49,0
10,03/10/2020,70,61,0
11,03/11/2020,154,88,1
12,03/12/2020,356,89,0
13,03/13/2020,620,147,0
14,03/14/2020,642,155,2
15,03/15/2020,1033,192,5
16,03/16/2020,2122,307,9
17,03/17/2020,2455,356,8
18,03/18/2020,2980,464,20
19,03/19/2020,3712,549,24
20,03/20/2020,4012,660,46
21,03/21/2020,2638,693,44
22,03/22/2020,2580,725,50
23,03/23/2020,3565,1028,82
24,03/24/2020,4501,1147,94
25,03/25/2020,4841,1294,120
26,03/26/2020,5024,1426,186
27,03/27/2020,5099,1376,211
28,03/28/2020,3460,1344,265
29,03/29/2020,3527,1387,285
30,03/30/2020,6115,1687,320
31,03/31/2020,5437,1642,372
32,04/01/2020,5438,1545,431
33,04/02/2020,5753,1597,486
34,04/03/2020,5663,1592,483
35,04/04/2020,3861,1322,488
36,04/05/2020,3778,1320,566
37,04/06/2020,6368,1697,564
38,04/07/2020,6053,1570,590
39,04/08/2020,5562,1519,545
40,04/09/2020,5043,1403,536
41,04/10/2020,4498,1313,517
42,04/11/2020,3710,1078,523
43,04/12/2020,2870,979,555
44,04/13/2020,3300,1202,549
45,04/14/2020,4126,1058,503
46,04/15/2020,3864,972,438
47,04/16/2020,3517,861,398
48,04/17/2020,3576,887,367
49,04/18/2020,2164,640,360
50,04/19/2020,2341,586,373
51,04/20/2020,3777,710,348
52,04/21/2020,3055,646,305
53,04/22/2020,3448,589,297
54,04/23/2020,2841,523,308
55,04/24/2020,2535,540,299
56,04/25/2020,1594,399,239
57,04/26/2020,1006,377,231
58,04/27/2020,2282,440,255
59,04/28/2020,2722,439,217
60,04/29/2020,2340,406,230
61,04/30/2020,2014,329,207
62,05/01/2020,1880,340,202
63,05/02/2020,1055,257,186
64,05/03/2020,783,252,167
65,05/04/2020,1547,290,150
66,05/05/2020,1508,260,141
67,05/06/2020,1401,247,137
68,05/07/2020,1230,237,129
69,05/08/2020,1086,243,121
70,05/09/2020,660,166,99
71,05/10/2020,459,140,91
72,05/11/2020,1232,241,97
73,05/12/2020,1284,201,87
74,05/13/2020,1326,205,72
75,05/14/2020,1110,195,63
76,05/15/2020,869,217,85
77,05/16/2020,489,149,74
78,05/17/2020,359,116,69
79,05/18/2020,896,156,47
80,05/19/2020,999,198,50
81,05/20/2020,1033,151,72
82,05/21/2020,1038,162,39
83,05/22/2020,1007,185,57
84,05/23/2020,453,114,51
85,05/24/2020,471,105,41
86,05/25/2020,453,131,39
87,05/26/2020,1022,135,31
88,05/27/2020,697,150,38
89,05/28/2020,537,120,28
90,05/29/2020,460,87,29
91,05/30/2020,247,50,32
92,05/31/2020,163,46,10
93,06/01/2020,292,52,11
94,06/02/2020,97,14,1
95,06/03/2020,27,0,0
