,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,13,0
1,03/01/2020,1,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,19,0
4,03/04/2020,5,21,0
5,03/05/2020,3,19,0
6,03/06/2020,8,19,0
7,03/07/2020,7,15,0
8,03/08/2020,21,16,0
9,03/09/2020,58,49,0
10,03/10/2020,70,61,0
11,03/11/2020,154,88,1
12,03/12/2020,356,90,0
13,03/13/2020,620,146,0
14,03/14/2020,642,156,2
15,03/15/2020,1033,191,5
16,03/16/2020,2122,308,9
17,03/17/2020,2455,355,8
18,03/18/2020,2980,464,20
19,03/19/2020,3712,549,24
20,03/20/2020,4011,660,46
21,03/21/2020,2638,693,44
22,03/22/2020,2579,725,50
23,03/23/2020,3565,1028,82
24,03/24/2020,4498,1147,94
25,03/25/2020,4840,1295,120
26,03/26/2020,5024,1426,186
27,03/27/2020,5096,1377,212
28,03/28/2020,3459,1343,265
29,03/29/2020,3526,1388,285
30,03/30/2020,6112,1689,320
31,03/31/2020,5432,1641,372
32,04/01/2020,5436,1544,431
33,04/02/2020,5753,1598,486
34,04/03/2020,5660,1593,483
35,04/04/2020,3856,1322,488
36,04/05/2020,3776,1320,566
37,04/06/2020,6367,1698,564
38,04/07/2020,6050,1571,590
39,04/08/2020,5563,1519,544
40,04/09/2020,5039,1405,534
41,04/10/2020,4497,1314,517
42,04/11/2020,3710,1078,523
43,04/12/2020,2870,980,555
44,04/13/2020,3300,1202,549
45,04/14/2020,4126,1058,503
46,04/15/2020,3863,975,437
47,04/16/2020,3517,861,398
48,04/17/2020,3574,887,365
49,04/18/2020,2164,640,360
50,04/19/2020,2343,586,373
51,04/20/2020,3776,710,347
52,04/21/2020,3053,646,305
53,04/22/2020,3447,589,297
54,04/23/2020,2841,523,307
55,04/24/2020,2535,540,298
56,04/25/2020,1594,399,239
57,04/26/2020,1006,377,231
58,04/27/2020,2282,440,255
59,04/28/2020,2723,440,217
60,04/29/2020,2340,406,230
61,04/30/2020,2014,330,207
62,05/01/2020,1880,342,202
63,05/02/2020,1055,259,186
64,05/03/2020,783,253,167
65,05/04/2020,1547,290,149
66,05/05/2020,1508,261,141
67,05/06/2020,1401,247,137
68,05/07/2020,1231,239,129
69,05/08/2020,1086,242,119
70,05/09/2020,660,167,99
71,05/10/2020,460,140,91
72,05/11/2020,1230,242,98
73,05/12/2020,1283,203,86
74,05/13/2020,1331,209,72
75,05/14/2020,1108,196,63
76,05/15/2020,869,217,85
77,05/16/2020,488,149,74
78,05/17/2020,358,119,69
79,05/18/2020,896,157,47
80,05/19/2020,996,198,50
81,05/20/2020,1029,151,72
82,05/21/2020,1032,163,38
83,05/22/2020,1004,188,56
84,05/23/2020,453,114,51
85,05/24/2020,473,107,39
86,05/25/2020,453,131,37
87,05/26/2020,911,143,27
88,05/27/2020,629,148,34
89,05/28/2020,399,114,27
90,05/29/2020,259,82,23
91,05/30/2020,120,39,20
92,05/31/2020,65,7,2
93,06/01/2020,21,0,0
