,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
66,2020-07-08T00:00:00.000,Confirmed,64583,6534,1799
67,2020-07-08T00:00:00.000,Probable,2792,43,106
68,2020-07-07T00:00:00.000,Confirmed,63950,6470,1775
69,2020-07-07T00:00:00.000,Probable,2790,42,106
70,2020-07-06T00:00:00.000,Confirmed,63339,6394,1747
71,2020-07-06T00:00:00.000,Probable,2763,41,106
72,2020-07-05T00:00:00.000,Confirmed,62981,6377,1746
73,2020-07-05T00:00:00.000,Probable,2767,41,107
74,2020-07-04T00:00:00.000,Confirmed,62400,6370,1745
75,2020-07-04T00:00:00.000,Probable,2709,35,104
76,2020-07-03T00:00:00.000,Confirmed,61690,6348,1741
77,2020-07-03T00:00:00.000,Probable,2703,34,104
78,2020-07-02T00:00:00.000,Confirmed,61039,6298,1712
79,2020-07-02T00:00:00.000,Probable,2696,35,104
80,2020-07-01T00:00:00.000,Confirmed,60528,6228,1681
81,2020-07-01T00:00:00.000,Probable,2675,34,105
82,2020-06-30T00:00:00.000,Confirmed,60124,6169,1658
83,2020-06-30T00:00:00.000,Probable,2663,34,105
84,2020-06-29T00:00:00.000,Confirmed,59522,6128,1635
85,2020-06-29T00:00:00.000,Probable,2667,36,105
86,2020-06-28T00:00:00.000,Confirmed,59071,6100,1628
87,2020-06-28T00:00:00.000,Probable,2665,36,104
88,2020-06-27T00:00:00.000,Confirmed,58611,6084,1620
89,2020-06-27T00:00:00.000,Probable,2636,36,104
90,2020-06-26T00:00:00.000,Confirmed,57977,6035,1596
91,2020-06-26T00:00:00.000,Probable,2593,36,104
92,2020-06-25T00:00:00.000,Confirmed,57384,5961,1572
93,2020-06-25T00:00:00.000,Probable,2562,34,103
94,2020-06-24T00:00:00.000,Confirmed,56956,5922,1559
95,2020-06-24T00:00:00.000,Probable,2558,33,102
96,2020-06-23T00:00:00.000,Confirmed,56452,5881,1542
97,2020-06-23T00:00:00.000,Probable,2542,32,103
98,2020-06-22T00:00:00.000,Confirmed,55949,5837,1517
99,2020-06-22T00:00:00.000,Probable,2516,32,103
100,2020-06-21T00:00:00.000,Confirmed,55504,5808,1508
101,2020-06-21T00:00:00.000,Probable,2490,32,103
102,2020-06-20T00:00:00.000,Confirmed,54953,5775,1504
103,2020-06-20T00:00:00.000,Probable,2490,32,103
104,2020-06-19T00:00:00.000,Confirmed,54312,5765,1499
105,2020-06-19T00:00:00.000,Probable,2481,32,103
106,2020-06-18T00:00:00.000,Confirmed,53769,5713,1482
107,2020-06-18T00:00:00.000,Probable,2469,31,104
108,2020-06-17T00:00:00.000,Confirmed,53318,5661,1478
109,2020-06-17T00:00:00.000,Probable,2457,31,105
110,2020-06-16T00:00:00.000,Confirmed,52917,5614,1465
111,2020-06-16T00:00:00.000,Probable,2414,29,105
112,2020-06-15T00:00:00.000,Confirmed,52460,5557,1444
113,2020-06-15T00:00:00.000,Probable,2426,31,108
114,2020-06-14T00:00:00.000,Confirmed,52103,5506,1438
115,2020-06-14T00:00:00.000,Probable,2403,30,108
116,2020-06-13T00:00:00.000,Confirmed,51499,5482,1435
117,2020-06-13T00:00:00.000,Probable,2370,29,106
118,2020-06-12T00:00:00.000,Confirmed,50853,5417,1426
119,2020-06-12T00:00:00.000,Probable,2358,28,108
120,2020-06-11T00:00:00.000,Confirmed,50275,5331,1413
121,2020-06-11T00:00:00.000,Probable,2372,29,107
122,2020-06-10T00:00:00.000,Confirmed,49785,5240,1408
123,2020-06-10T00:00:00.000,Probable,2392,32,106
124,2020-06-09T00:00:00.000,Confirmed,49362,5172,1391
125,2020-06-09T00:00:00.000,Probable,2376,31,105
126,2020-06-08T00:00:00.000,Confirmed,48879,5112,1373
127,2020-06-08T00:00:00.000,Probable,2372,31,104
128,2020-06-07T00:00:00.000,Confirmed,48349,5075,1369
129,2020-06-07T00:00:00.000,Probable,2332,31,103
130,2020-06-06T00:00:00.000,Confirmed,47123,5024,1357
131,2020-06-06T00:00:00.000,Probable,2274,30,103
132,2020-06-05T00:00:00.000,Confirmed,46281,4978,1350
133,2020-06-05T00:00:00.000,Probable,2251,30,103
134,2020-06-04T00:00:00.000,Confirmed,45620,4925,1338
135,2020-06-04T00:00:00.000,Probable,2236,32,107
136,2020-06-03T00:00:00.000,Confirmed,44715,4852,1322
137,2020-06-03T00:00:00.000,Probable,2190,32,106
138,2020-06-02T00:00:00.000,Confirmed,44069,4738,1300
139,2020-06-02T00:00:00.000,Probable,2170,32,107
140,2020-06-01T00:00:00.000,Confirmed,43247,4660,1282
141,2020-06-01T00:00:00.000,Probable,2151,34,110
142,2020-05-31T00:00:00.000,Confirmed,42499,4611,1274
143,2020-05-31T00:00:00.000,Probable,2108,32,101
144,2020-05-30T00:00:00.000,Confirmed,41529,4570,1269
145,2020-05-30T00:00:00.000,Probable,2082,31,101
146,2020-05-29T00:00:00.000,Confirmed,40477,4497,1258
147,2020-05-29T00:00:00.000,Probable,2056,32,100
148,2020-05-28T00:00:00.000,Confirmed,39393,4410,1236
149,2020-05-28T00:00:00.000,Probable,2008,32,102
150,2020-05-27T00:00:00.000,Confirmed,38276,4351,1202
151,2020-05-27T00:00:00.000,Probable,1973,34,79
152,2020-05-26T00:00:00.000,Confirmed,37440,4294,1175
153,2020-05-26T00:00:00.000,Probable,1902,31,61
154,2020-05-25T00:00:00.000,Confirmed,35890,4239,1158
155,2020-05-25T00:00:00.000,Probable,1837,30,50
156,2020-05-24T00:00:00.000,Confirmed,34451,4185,1135
157,2020-05-24T00:00:00.000,Probable,1793,29,36
158,2020-05-23T00:00:00.000,Confirmed,33962,4153,1123
159,2020-05-23T00:00:00.000,Probable,1787,28,36
160,2020-05-22T00:00:00.000,Confirmed,33208,4117,1100
161,2020-05-22T00:00:00.000,Probable,1742,28,36
162,2020-05-21T00:00:00.000,Confirmed,32428,4066,1064
163,2020-05-21T00:00:00.000,Probable,1709,27,35
164,2020-05-20T00:00:00.000,Confirmed,31247,3951,1040
165,2020-05-20T00:00:00.000,Probable,1661,28,34
166,2020-05-19T00:00:00.000,Confirmed,30539,3876,1007
167,2020-05-19T00:00:00.000,Probable,1606,28,34
168,2020-05-18T00:00:00.000,Confirmed,29591,3796,980
169,2020-05-18T00:00:00.000,Probable,1549,26,34
170,2020-05-17T00:00:00.000,Confirmed,28901,3749,975
171,2020-05-17T00:00:00.000,Probable,1487,26,34
172,2020-05-16T00:00:00.000,Confirmed,28233,3697,968
173,2020-05-16T00:00:00.000,Probable,1450,27,34
174,2020-05-15T00:00:00.000,Confirmed,27293,3630,944
175,2020-05-15T00:00:00.000,Probable,1379,27,33
176,2020-05-14T00:00:00.000,Confirmed,26469,3568,927
177,2020-05-14T00:00:00.000,Probable,1344,24,28
178,2020-05-13T00:00:00.000,Confirmed,25431,3498,899
179,2020-05-13T00:00:00.000,Probable,1315,22,28
180,2020-05-12T00:00:00.000,Confirmed,24601,3373,864
181,2020-05-12T00:00:00.000,Probable,1199,22,27
182,2020-05-11T00:00:00.000,Confirmed,23889,3278,823
183,2020-05-11T00:00:00.000,Probable,1181,22,27
184,2020-05-10T00:00:00.000,Confirmed,22962,3190,813
185,2020-05-10T00:00:00.000,Probable,1119,21,26
186,2020-05-09T00:00:00.000,Confirmed,22086,3143,801
187,2020-05-09T00:00:00.000,Probable,1110,21,26
188,2020-05-08T00:00:00.000,Confirmed,21274,3039,787
189,2020-05-08T00:00:00.000,Probable,1068,20,25
190,2020-05-07T00:00:00.000,Confirmed,20537,2934,745
191,2020-05-07T00:00:00.000,Probable,1033,21,24
192,2020-05-05T00:00:00.000,Confirmed,19357,2754,690
193,2020-05-05T00:00:00.000,Probable,899,19,23
194,2020-05-04T00:00:00.000,Confirmed,18640,2681,662
195,2020-05-04T00:00:00.000,Probable,852,19,22
196,2020-05-03T00:00:00.000,Confirmed,17873,2613,644
197,2020-05-03T00:00:00.000,Probable,798,14,16
198,2020-05-02T00:00:00.000,Confirmed,16979,2510,607
199,2020-05-02T00:00:00.000,Probable,752,9,9
200,2020-05-01T00:00:00.000,Confirmed,16109,2407,572
201,2020-05-01T00:00:00.000,Probable,792,9,9
202,2020-04-30T00:00:00.000,Confirmed,15180,2313,543
203,2020-04-30T00:00:00.000,Probable,666,9,9
204,2020-04-29T00:00:00.000,Confirmed,14328,2252,513
205,2020-04-29T00:00:00.000,Probable,633,7,9
206,2020-04-28T00:00:00.000,Confirmed,13794,2158,487
207,2020-04-28T00:00:00.000,Probable,545,7,5
208,2020-04-27T00:00:00.000,Confirmed,13036,2059,454
209,2020-04-27T00:00:00.000,Probable,499,7,4
210,2020-04-26T00:00:00.000,Confirmed,12488,2007,444
211,2020-04-26T00:00:00.000,Probable,482,7,4
212,2020-04-25T00:00:00.000,Confirmed,11902,1935,432
213,2020-04-25T00:00:00.000,Probable,464,7,4
214,2020-04-24T00:00:00.000,Confirmed,11169,1829,407
215,2020-04-24T00:00:00.000,Probable,425,8,3
216,2020-04-23T00:00:00.000,Confirmed,10627,1743,370
217,2020-04-23T00:00:00.000,Probable,371,10,2
218,2020-04-22T00:00:00.000,Confirmed,9952,1656,347
219,2020-04-22T00:00:00.000,Probable,314,3,2
220,2020-04-21T00:00:00.000,Confirmed,9451,1578,321
221,2020-04-21T00:00:00.000,Probable,179,3,3
