Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
3/31/2020,Confirmed,284,51,10
3/31/2020,Probable,13,0,1
3/30/2020,Confirmed,374,66,6
3/30/2020,Probable,28,0,0
3/29/2020,Confirmed,188,66,7
3/29/2020,Probable,10,0,0
3/28/2020,Confirmed,222,64,8
3/28/2020,Probable,9,0,0
3/27/2020,Confirmed,247,57,9
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,254,49,4
3/26/2020,Probable,11,0,1
3/25/2020,Confirmed,247,54,4
3/25/2020,Probable,7,0,0
3/24/2020,Confirmed,230,52,3
3/24/2020,Probable,14,0,0
3/23/2020,Confirmed,245,41,1
3/23/2020,Probable,18,0,0
3/22/2020,Confirmed,166,23,4
3/22/2020,Probable,8,0,0
3/21/2020,Confirmed,173,28,4
3/21/2020,Probable,11,0,0
3/20/2020,Confirmed,209,19,1
3/20/2020,Probable,10,0,0
3/19/2020,Confirmed,180,19,0
3/19/2020,Probable,9,0,0
3/18/2020,Confirmed,202,15,0
3/18/2020,Probable,9,0,0
3/17/2020,Confirmed,181,13,0
3/17/2020,Probable,11,0,0
3/16/2020,Confirmed,188,13,0
3/16/2020,Probable,13,0,0
3/15/2020,Confirmed,114,9,1
3/15/2020,Probable,8,0,0
3/14/2020,Confirmed,134,6,1
3/14/2020,Probable,9,0,0
3/13/2020,Confirmed,109,6,0
3/13/2020,Probable,6,0,0
3/12/2020,Confirmed,99,5,0
3/12/2020,Probable,5,0,0
3/11/2020,Confirmed,72,4,0
3/11/2020,Probable,8,0,0
3/10/2020,Confirmed,66,2,0
3/10/2020,Probable,4,0,0
3/9/2020,Confirmed,46,3,0
3/9/2020,Probable,6,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,22,1,0
3/7/2020,Probable,1,0,0
3/6/2020,Confirmed,25,1,0
3/6/2020,Probable,2,0,0
3/5/2020,Confirmed,14,1,0
3/4/2020,Confirmed,20,0,0
3/4/2020,Probable,4,0,0
3/3/2020,Confirmed,15,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,14,0,0
3/2/2020,Probable,3,0,0
3/1/2020,Confirmed,13,0,0
3/1/2020,Probable,4,0,0
2/29/2020,Confirmed,4,0,0
2/29/2020,Probable,2,0,0
2/28/2020,Confirmed,5,0,0
2/28/2020,Probable,1,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,4,1,0
2/26/2020,Probable,1,0,0
2/25/2020,Probable,2,0,0
2/24/2020,Confirmed,5,0,0
2/23/2020,Confirmed,2,0,0
2/23/2020,Probable,1,0,0
2/19/2020,Confirmed,1,0,0
2/19/2020,Probable,1,0,0
2/18/2020,Confirmed,2,1,0
2/17/2020,Probable,1,0,0
2/16/2020,Confirmed,1,0,0
